timestep,learner_elo,opponent,opponent_elo,wins,draws,losses
760000,2390.488568880401,Tactical,2220.3185434239786,77,1,22
770000,2439.1377582485406,MiniMax4,2435.91420772702,50,0,50
770000,2439.1377582485406,PPO_750000,2392.314840050581,50,0,50
770000,2439.1377582485406,PPO_700000,2370.04350199105,51,0,49
770000,2439.1377582485406,Tactical,2204.3523457594033,79,0,21
780000,2370.956384527818,Tactical,2214.577675446114,75,0,25
780000,2370.956384527818,PPO_650000,2041.523664068823,91,0,9
780000,2370.956384527818,PPO_700000,2401.7694514690156,57,0,43
780000,2370.956384527818,PPO_750000,2415.2638555627873,50,0,50
790000,2462.61246206957,MiniMax4,2439.19528677086,50,0,50
790000,2462.61246206957,PPO_750000,2397.0981372707665,50,0,50
790000,2462.61246206957,PPO_700000,2363.204550889372,57,0,43
790000,2462.61246206957,Tactical,2197.4626454681065,82,0,18
800000,2401.2284580495366,PPO_700000,2381.033273701345,66,0,34
800000,2401.2284580495366,Tactical,2197.2540329035387,62,0,38
800000,2401.2284580495366,PPO_750000,2428.468702812434,62,0,38
800000,2401.2284580495366,MiniMax4,2451.588615001821,48,0,52
810000,2447.682490504969,PPO_800000,2447.682490504969,78,0,22
810000,2447.682490504969,MiniMax4,2439.8476107707756,46,1,53
810000,2447.682490504969,PPO_750000,2385.8946507860705,94,0,6
810000,2447.682490504969,PPO_700000,2334.9182647667626,79,0,21
820000,2709.9502900428515,MiniMax4,2450.918545892985,46,0,54
820000,2709.9502900428515,PPO_800000,2343.3578032601868,70,0,30
820000,2709.9502900428515,PPO_700000,2299.550441256419,82,0,18
820000,2709.9502900428515,PPO_750000,2252.248426881104,95,0,5
830000,2448.9923632533028,PPO_800000,2437.808155009087,71,0,29
830000,2448.9923632533028,PPO_700000,2349.424688501363,85,0,15
830000,2448.9923632533028,MiniMax4,2579.207663939495,47,0,53
830000,2448.9923632533028,Tactical,2251.2300656400976,53,0,47
840000,2548.6681553018684,MiniMax4,2531.1944720744923,48,0,52
840000,2548.6681553018684,PPO_800000,2370.740747435447,81,0,19
840000,2548.6681553018684,Tactical,2329.3993494053448,57,0,43
840000,2548.6681553018684,PPO_700000,2286.660212126193,88,0,12
850000,2516.514240012572,Tactical,2407.045288776685,55,0,45
850000,2516.514240012572,PPO_800000,2344.03150844434,100,0,0
850000,2516.514240012572,MiniMax4,2547.122772827027,47,0,53
850000,2516.514240012572,PPO_700000,2251.9491262827214,100,0,0
860000,2697.78595580269,PPO_850000,2697.78595580269,53,0,47
860000,2697.78595580269,MiniMax4,2541.529947907874,47,0,53
860000,2697.78595580269,Tactical,2439.3742296875826,60,0,40
860000,2697.78595580269,PPO_750000,2240.592636630299,100,0,0
870000,2591.344172155583,Tactical,2524.8906650630156,58,0,42
870000,2591.344172155583,PPO_800000,2225.255089011969,99,0,1
870000,2591.344172155583,MiniMax4,2619.3945135902927,46,0,54
870000,2591.344172155583,PPO_850000,2683.2353832283075,51,0,49
880000,2691.3447811872343,PPO_850000,2635.9252067213415,51,0,49
880000,2691.3447811872343,MiniMax4,2620.8990598682453,46,0,54
880000,2691.3447811872343,Tactical,2526.8088167670403,63,0,37
880000,2691.3447811872343,PPO_750000,2198.2039917939364,100,0,0
890000,2623.0193777995332,Tactical,2567.896180209969,60,0,40
890000,2623.0193777995332,PPO_800000,2169.1419585053063,95,0,5
890000,2623.0193777995332,PPO_850000,2654.4852956084083,85,0,15
890000,2623.0193777995332,MiniMax4,2665.6906752227355,45,0,55
900000,2751.7519089069356,MiniMax4,2675.91280170269,50,0,50
900000,2751.7519089069356,Tactical,2570.9691717633737,60,0,40
900000,2751.7519089069356,PPO_850000,2521.8365271955086,90,0,10
900000,2751.7519089069356,PPO_700000,2162.71771393323,100,0,0
910000,2741.341263269621,PPO_900000,2741.341263269621,95,0,5
910000,2741.341263269621,MiniMax4,2711.931119650946,48,0,52
910000,2741.341263269621,Tactical,2619.6378434695175,46,0,54
910000,2741.341263269621,PPO_850000,2470.465674487074,99,0,1
920000,2900.253812137451,MiniMax4,2733.9378933863472,50,0,50
920000,2900.253812137451,Tactical,2679.4711239284406,52,0,48
920000,2900.253812137451,PPO_900000,2582.8652071613697,96,0,4
920000,2900.253812137451,PPO_850000,2388.189127533171,100,0,0
930000,2805.8828628570395,Tactical,2780.019863091971,54,0,46
930000,2805.8828628570395,PPO_900000,2533.2569188816365,96,0,4
930000,2805.8828628570395,MiniMax4,2810.4807542293074,50,0,50
930000,2805.8828628570395,PPO_850000,2355.076765086825,96,0,4
940000,2902.846308418769,MiniMax4,2810.231943124972,50,0,50
940000,2902.846308418769,Tactical,2771.355026838987,66,0,34
940000,2902.846308418769,PPO_900000,2465.7756244079646,98,0,2
940000,2902.846308418769,PPO_850000,2334.5082613560867,99,0,1
950000,2892.463095609951,MiniMax4,2853.7939600383224,49,0,51
950000,2892.463095609951,Tactical,2788.0133028347004,63,0,37
950000,2892.463095609951,PPO_900000,2434.8018793729652,95,0,5
950000,2892.463095609951,PPO_850000,2315.6449262908404,98,0,2
960000,2885.2805705406377,PPO_950000,2885.2805705406377,83,0,17
960000,2885.2805705406377,MiniMax4,2874.5988063098753,50,0,50
960000,2885.2805705406377,Tactical,2796.2711125471715,66,0,34
960000,2885.2805705406377,PPO_900000,2422.540900056758,99,0,1
970000,3034.9412389807517,MiniMax4,2881.2456807499398,49,0,51
970000,3034.9412389807517,Tactical,2791.0821319138513,67,0,33
970000,3034.9412389807517,PPO_950000,2769.8775925610053,74,0,26
970000,3034.9412389807517,PPO_900000,2386.825315789532,99,0,1
980000,2883.7510313424395,Tactical,2854.2520221298955,62,0,38
980000,2883.7510313424395,PPO_950000,2793.2430972918196,85,0,15
980000,2883.7510313424395,MiniMax4,2956.242878578362,43,0,57
980000,2883.7510313424395,PPO_900000,2376.4829306525635,87,0,13
990000,2943.756697330494,Tactical,2836.8060021376014,64,0,36
990000,2943.756697330494,PPO_950000,2713.5341582398446,93,0,7
990000,2943.756697330494,MiniMax4,2945.822589734725,48,0,52
990000,2943.756697330494,PPO_900000,2424.052512552415,81,0,19
1000000,2911.2086340660317,Tactical,2840.5035636208922,62,0,38
1000000,2911.2086340660317,PPO_950000,2645.7432072025854,100,0,0
1000000,2911.2086340660317,MiniMax4,2952.0625966880084,48,0,52
1000000,2911.2086340660317,PPO_900000,2514.4539584175623,99,0,1
